2024-12-12 16:18:36,212 - INFO: Data loaded: 460319 tokens
2024-12-12 16:18:36,576 - INFO: Data split: Train 62336 tokens, Validation 15583 tokens
2024-12-12 16:18:36,706 - INFO: Model initialized
2024-12-12 16:18:38,607 - INFO: Optimizer initialized
2024-12-12 16:18:39,795 - INFO: Step     0: Train Loss =  11.7340, Val Loss =  11.7251
2024-12-12 16:18:49,092 - INFO: Step    50: Train Loss =   7.9119, Val Loss =   8.2359
2024-12-12 16:18:58,060 - INFO: Step   100: Train Loss =   6.7538, Val Loss =   6.8426
2024-12-12 16:19:08,082 - INFO: Step   150: Train Loss =   6.2632, Val Loss =   6.6909
2024-12-12 16:19:16,531 - INFO: Step   200: Train Loss =   6.1051, Val Loss =   6.8623
2024-12-12 16:19:25,001 - INFO: Step   250: Train Loss =   5.7495, Val Loss =   6.2173
2024-12-12 16:19:33,513 - INFO: Step   300: Train Loss =   5.6271, Val Loss =   6.2111
2024-12-12 16:19:42,461 - INFO: Step   350: Train Loss =   5.6739, Val Loss =   6.0021
2024-12-12 16:19:51,245 - INFO: Step   400: Train Loss =   5.3287, Val Loss =   5.7865
2024-12-12 16:19:59,851 - INFO: Step   450: Train Loss =   5.0110, Val Loss =   6.0726
2024-12-12 16:20:08,577 - INFO: Step   500: Train Loss =   4.9920, Val Loss =   5.6765
2024-12-12 16:20:17,112 - INFO: Step   550: Train Loss =   5.0055, Val Loss =   5.8758
2024-12-12 16:20:25,716 - INFO: Step   600: Train Loss =   5.0749, Val Loss =   5.7964
2024-12-12 16:20:34,221 - INFO: Step   650: Train Loss =   4.6974, Val Loss =   5.5909
2024-12-12 16:20:42,907 - INFO: Step   700: Train Loss =   4.6970, Val Loss =   5.7177
2024-12-12 16:20:51,793 - INFO: Step   750: Train Loss =   4.6298, Val Loss =   5.9050
2024-12-12 16:21:00,401 - INFO: Step   800: Train Loss =   4.4477, Val Loss =   5.9334
2024-12-12 16:21:09,913 - INFO: Step   850: Train Loss =   4.6737, Val Loss =   5.5363
2024-12-12 16:21:18,702 - INFO: Step   900: Train Loss =   4.3615, Val Loss =   5.3367
2024-12-12 16:21:27,410 - INFO: Step   950: Train Loss =   4.3809, Val Loss =   5.3434
2024-12-12 16:21:36,037 - INFO: Step  1000: Train Loss =   4.6528, Val Loss =   5.2864
2024-12-12 16:21:44,752 - INFO: Step  1050: Train Loss =   4.1913, Val Loss =   5.3418
2024-12-12 16:21:53,407 - INFO: Step  1100: Train Loss =   4.2346, Val Loss =   5.2325
2024-12-12 16:22:01,987 - INFO: Step  1150: Train Loss =   4.1479, Val Loss =   5.6740
2024-12-12 16:22:10,586 - INFO: Step  1200: Train Loss =   3.8827, Val Loss =   5.5394
2024-12-12 16:22:19,812 - INFO: Step  1250: Train Loss =   4.0035, Val Loss =   5.4421
2024-12-12 16:22:28,559 - INFO: Step  1300: Train Loss =   4.0592, Val Loss =   5.1657
2024-12-12 16:22:37,571 - INFO: Step  1350: Train Loss =   3.9386, Val Loss =   5.2813
2024-12-12 16:22:47,149 - INFO: Step  1400: Train Loss =   4.1245, Val Loss =   5.0548
2024-12-12 16:22:56,625 - INFO: Step  1450: Train Loss =   4.1809, Val Loss =   5.1248
2024-12-12 16:23:06,287 - INFO: Step  1500: Train Loss =   4.0101, Val Loss =   5.2431
2024-12-12 16:23:15,233 - INFO: Step  1550: Train Loss =   3.8758, Val Loss =   5.4359
2024-12-12 16:23:23,885 - INFO: Step  1600: Train Loss =   4.0098, Val Loss =   5.1495
2024-12-12 16:23:33,181 - INFO: Step  1650: Train Loss =   3.7271, Val Loss =   5.5021
2024-12-12 16:23:42,324 - INFO: Step  1700: Train Loss =   3.8439, Val Loss =   5.2709
2024-12-12 16:23:53,609 - INFO: Step  1750: Train Loss =   3.7783, Val Loss =   5.5023
2024-12-12 16:24:02,269 - INFO: Step  1800: Train Loss =   3.7254, Val Loss =   5.5556
2024-12-12 16:24:10,713 - INFO: Step  1850: Train Loss =   3.8469, Val Loss =   4.8666
2024-12-12 16:24:19,142 - INFO: Step  1900: Train Loss =   3.5225, Val Loss =   5.0715
2024-12-12 16:24:27,557 - INFO: Step  1950: Train Loss =   3.7139, Val Loss =   4.7584
2024-12-12 16:24:36,317 - INFO: Step  2000: Train Loss =   3.6403, Val Loss =   5.3691
2024-12-12 16:24:45,756 - INFO: Step  2050: Train Loss =   3.4618, Val Loss =   5.2168
2024-12-12 16:24:54,697 - INFO: Step  2100: Train Loss =   3.6251, Val Loss =   5.0089
2024-12-12 16:25:03,375 - INFO: Step  2150: Train Loss =   3.4786, Val Loss =   5.1065
2024-12-12 16:25:12,609 - INFO: Step  2200: Train Loss =   3.5466, Val Loss =   5.2857
2024-12-12 16:25:21,273 - INFO: Step  2250: Train Loss =   3.4820, Val Loss =   5.1061
2024-12-12 16:25:29,783 - INFO: Step  2300: Train Loss =   3.7736, Val Loss =   5.0547
2024-12-12 16:25:38,303 - INFO: Step  2350: Train Loss =   3.5884, Val Loss =   5.2047
2024-12-12 16:25:47,776 - INFO: Step  2400: Train Loss =   3.5683, Val Loss =   5.3925
2024-12-12 16:25:57,197 - INFO: Step  2450: Train Loss =   3.2725, Val Loss =   5.1045
2024-12-12 16:26:06,570 - INFO: Step  2500: Train Loss =   3.5392, Val Loss =   5.0410
2024-12-12 16:26:15,263 - INFO: Step  2550: Train Loss =   3.4320, Val Loss =   5.1596
2024-12-12 16:26:23,660 - INFO: Step  2600: Train Loss =   3.4801, Val Loss =   5.3470
2024-12-12 16:26:32,171 - INFO: Step  2650: Train Loss =   3.2106, Val Loss =   5.3053
2024-12-12 16:26:40,636 - INFO: Step  2700: Train Loss =   3.4152, Val Loss =   4.9667
2024-12-12 16:26:49,042 - INFO: Step  2750: Train Loss =   3.4306, Val Loss =   4.9253
2024-12-12 16:26:57,457 - INFO: Step  2800: Train Loss =   3.2655, Val Loss =   5.2275
2024-12-12 16:27:05,963 - INFO: Step  2850: Train Loss =   3.2642, Val Loss =   4.8394
2024-12-12 16:27:14,505 - INFO: Step  2900: Train Loss =   3.1571, Val Loss =   5.1601
2024-12-12 16:27:23,196 - INFO: Step  2950: Train Loss =   3.2819, Val Loss =   5.0144
2024-12-12 16:27:31,653 - INFO: Step  3000: Train Loss =   3.2191, Val Loss =   4.8822
2024-12-12 16:27:40,018 - INFO: Step  3050: Train Loss =   3.2101, Val Loss =   4.9560
2024-12-12 16:27:48,575 - INFO: Step  3100: Train Loss =   3.2434, Val Loss =   5.0964
2024-12-12 16:27:56,970 - INFO: Step  3150: Train Loss =   3.1997, Val Loss =   5.2381
2024-12-12 16:28:05,447 - INFO: Step  3200: Train Loss =   3.2246, Val Loss =   4.6975
2024-12-12 16:28:13,848 - INFO: Step  3250: Train Loss =   3.1838, Val Loss =   4.9794
2024-12-12 16:28:22,261 - INFO: Step  3300: Train Loss =   3.0142, Val Loss =   4.6326
2024-12-12 16:28:30,664 - INFO: Step  3350: Train Loss =   3.1918, Val Loss =   5.0394
2024-12-12 16:28:39,113 - INFO: Step  3400: Train Loss =   3.1180, Val Loss =   4.9360
2024-12-12 16:28:52,317 - INFO: Step  3450: Train Loss =   2.9071, Val Loss =   4.8153
2024-12-12 16:29:00,940 - INFO: Step  3500: Train Loss =   3.0441, Val Loss =   5.1927
2024-12-12 16:29:09,508 - INFO: Step  3550: Train Loss =   3.1274, Val Loss =   4.7373
2024-12-12 16:29:18,197 - INFO: Step  3600: Train Loss =   3.2458, Val Loss =   4.7983
2024-12-12 16:29:26,639 - INFO: Step  3650: Train Loss =   3.0972, Val Loss =   4.6800
2024-12-12 16:29:35,188 - INFO: Step  3700: Train Loss =   3.0075, Val Loss =   4.7441
2024-12-12 16:29:44,145 - INFO: Step  3750: Train Loss =   3.1331, Val Loss =   5.0442
2024-12-12 16:29:52,654 - INFO: Step  3800: Train Loss =   3.0984, Val Loss =   4.7101
2024-12-12 16:30:01,071 - INFO: Step  3850: Train Loss =   2.8279, Val Loss =   5.3077
